yearID,name,R,innings,BA,OBP,SLG,ISO,TA,LinWeights
1960,Chicago Cubs,634,1404,0.2435,0.312221842,0.3689,0.1254,0.501233959,-28.43
1960,Cincinnati Reds,640,1386,0.2503,0.316497156,0.3884,0.138,0.510244878,18.65
1960,Cleveland Indians,667,1386,0.2672,0.323867596,0.3878,0.1207,0.517921147,34.27
1960,Detroit Tigers,633,1386,0.2389,0.3218568,0.3747,0.1357,0.505888249,16.47
1960,Kansas City Athletics,615,1395,0.2493,0.316431434,0.3661,0.1167,0.506100661,-19.36
1960,Los Angeles Dodgers,662,1386,0.255,0.323488534,0.3832,0.1282,0.524448949,24.11
1960,Milwaukee Braves,724,1386,0.2647,0.324135522,0.4174,0.1528,0.514973125,78.57
1960,New York Yankees,746,1395,0.2603,0.328470911,0.4255,0.1652,0.515752033,106.6
1960,Philadelphia Phillies,546,1386,0.2389,0.299626135,0.3513,0.1124,0.468357609,-98.52
1960,Pittsburgh Pirates,734,1395,0.2762,0.335879158,0.4071,0.131,0.563119126,89.11
1960,San Francisco Giants,671,1404,0.2549,0.314971508,0.3927,0.1379,0.518195414,17.1
1960,St. Louis Cardinals,639,1395,0.2539,0.319620253,0.3933,0.1394,0.512676056,26.07
1960,Washington Senators,672,1386,0.2445,0.320130316,0.384,0.1395,0.503992016,13.41
1961,Baltimore Orioles,691,1467,0.2542,0.325635104,0.3903,0.1361,0.517969888,41.61
1961,Boston Red Sox,729,1467,0.2544,0.332737612,0.3744,0.12,0.550567222,37.76
1961,Chicago White Sox,765,1467,0.2655,0.331641009,0.3954,0.1299,0.547197282,74.67
1961,Chicago Cubs,689,1404,0.2552,0.323474418,0.4177,0.1624,0.518601748,80.73
1961,Cincinnati Reds,710,1386,0.2697,0.324214613,0.4206,0.1509,0.526411186,86.08
1961,Cleveland Indians,737,1449,0.2662,0.325356499,0.4061,0.14,0.531378725,73.96
1961,Detroit Tigers,841,1467,0.2663,0.345524543,0.4211,0.1548,0.572643343,163.13
